"Publisher";"Name";"Version";"DetectionMethod";"DetectionPattern";"ProductCode";"InstallCmd";"UninstallCmd";"Notes"
"Igor Pavlov";"7-Zip";"24.9.0.0";"Registry";"";"";"";"";""
"Igor Pavlov";"7-Zip";"26.00.00.0";"Registry";"";"";"";"";""
"Igor Pavlov";"7-Zip";"26.02.00.0";"MSI";"";"{23170F69-40C1-2702-2602-000001000000}";"";"";"7zip.7zip 26.02 from winget-pkgs (x64, wix)"
"Igor Pavlov";"7-Zip 26.01 (x64 edition)";"26.01.00.0";"Registry";"";"";"";"";""
"Igor Pavlov";"7-Zip 26.02 (x64 edition)";"26.02.00.0";"Registry";"";"";"";"";""
"Google Inc.";"Google Chrome";"134.0.6998.166";"Registry";"";"";"";"";""
"Google Inc.";"Google Chrome";"145.0.7632.117";"Registry";"";"";"";"";""
"Crem Solutions GmbH & Co. KG";"iX-Haus Client Setup";"20.25.0";"Registry";"";"";"";"";""
"Microsoft Corporation";"Microsoft Edge";"134.0.3124.85";"Registry";"";"";"";"";""
"Microsoft Corporation";"Microsoft Office LTSC Standard 2021";"16.0.14332.21017";"Registry";"";"";"";"";""
"Microsoft Corporation";"Microsoft Office LTSC Standard 2024";"16.0.17932.20396";"Registry";"";"";"";"";""
"Microsoft Corporation";"Microsoft Office Professional Plus 2019";"16.0.10416.20073";"Registry";"";"";"";"";""
"Microsoft Corporation";"Microsoft Visual Studio Code";"1.135.0";"Registry";"";"";"";"";"Microsoft.VisualStudioCode 1.135.0 from winget-pkgs (x64, )"
"Notepad++ team";"Notepad++";"8.9.2";"Registry";"";"";"";"";""
"Notepad++ Team";"Notepad++";"8.9.8";"File";"%ProgramFiles%\Notepad++\notepad++.exe";"";"Start-ADTProcess -FilePath 'npp.8.9.8.Installer.x64.exe' -ArgumentList '/S'";"Start-ADTProcess -FilePath ""$env:ProgramFiles\Notepad++\uninstall.exe"" -ArgumentList '/S'";"Notepad++.Notepad++ 8.9.8 from winget-pkgs (x64, nullsoft); file detection on the main executable"
"Notepad++ team (MSI installer)";"Notepad++ (x64)";"8.9.8";"Registry";"";"";"";"";""
"Alexander Zarenko";"OpenLeanPrint";"0.2.1";"MSI";"";"{7AABE5B7-C3B1-4A0A-B44D-5017F4DA25DC}";"Start-ADTMsiProcess -Action 'Install' -FilePath 'OpenLeanPrint-0.2.1-win-arm64.msi'";"Start-ADTMsiProcess -Action 'Uninstall' -ProductCode '{7AABE5B7-C3B1-4A0A-B44D-5017F4DA25DC}'";""
"Oracle Corporation";"Oracle";"19c";"Registry";"";"";"";"";""
"BioPDF";"PDF Writer";"14.5.0.2974";"Registry";"";"";"";"";""
"bioPDF";"PDF Writer";"2026.0.0.2993";"Registry";"";"";"";"";""
"www.pdf24.org";"PDF24 Creator";"11.24.0";"Registry";"";"";"";"";""
"geek software GmbH";"PDF24 Creator";"11.29.1";"Registry";"";"";"";"";""
"geek software GmbH";"PDF24 Creator";"11.30.1";"Registry";"";"";"";"";""
"Simon Tatham";"PuTTY";"0.84.0.0";"MSI";"";"{FEE89B49-1A47-476C-864C-1D5076FC2891}";"";"";"PuTTY.PuTTY 0.84.0.0 from winget-pkgs (x64, wix)"
"Simon Tatham";"PuTTY";"0.84.0.0";"MSI";"";"{FEE89B49-1A47-476C-864C-1D5076FC2891}";"";"";"PuTTY.PuTTY 0.84.0.0 from winget-pkgs (x64, wix)"
"Microsoft Corporation";"Remote Desktop Connection Manager";"2.93";"Registry";"";"";"";"";""
"Devolutions inc.";"Remote Desktop Manager";"2025.1.25.0";"Registry";"";"";"";"";""
"Devolutions inc.";"Remote Desktop Manager";"2025.3.32.0";"Registry";"";"";"";"";""
"Devolutions inc.";"Remote Desktop Manager";"2026.2.18.0";"Registry";"";"";"";"";""
"SCCMAppHelper";"SCCMAppHelper Testapp";"1.0.0";"Registry";"";"";"";"";"Lab test app for the first ConfigMgr run of SCCMAppHelper"
"SCCMAppHelper";"SCCMAppHelper Testapp";"2.0.0";"Registry";"";"";"";"";"Lab test app v2 - supersedence check"
"SCCMAppHelper";"SCCMAppHelper Testapp";"3.0.0";"Registry";"SCCMAppHelper Testapp";"";"";"";"Lab test app v3 - native registry detection"
"SCCMAppHelper";"SCCMAppHelper Testapp";"4.0.0";"Registry";"SCCMAppHelper Testapp";"";"";"";"Lab test app v4 - clause replacement"
"SCCMAppHelper";"SCCMAppHelper Testapp";"5.0.0";"Registry";"SCCMAppHelper Testapp";"";"";"";"Lab test app v5 - compare-first detection"
"Microsoft Corporation";"SQL Server Management Studio";"20.2.30.0";"Registry";"";"";"";"";""
"Microsoft Corporation";"SQL Server Management Studio 22";"22.3.3";"Registry";"";"";"";"";""
"Microsoft Corporation";"SQL Server Management Studio 22";"22.9.2";"Registry";"";"";"";"";""
"Broadcom Inc.";"VMware Tools";"13.1.0.0";"Registry";"";"";"";"";""
